run,qrels,p,all,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
bm25_orig_RC1_1,misinfo-qrels-graded.harmful-only,0.95,0.1126,0.0064,0.0338,0.3993,0.0989,0.0442,0.0000,0.0001,0.0730,0.2695,0.0939,0.3651,0.2557,NA,0.0124,0.0046,NA,0.0293,0.0003,NA,0.0003,0.0000,0.0197,NA,NA,NA,NA,NA,0.4198,0.0024,NA,0.0000,0.1495,NA,0.1253,NA,0.0000,0.6705,NA,0.1817,0.0000,NA,NA,0.3470,0.0000,NA,0.0003,NA,NA,0.0000
bm25_orig_RC1_2,misinfo-qrels-graded.helpful-only,0.95,0.1022,0.0161,0.0338,0.0918,0.0232,0.0018,0.2087,0.1528,0.0916,0.2618,0.2536,0.0164,0.0573,NA,0.0666,0.0912,NA,0.4351,0.0283,NA,0.0879,0.1360,0.0922,NA,NA,NA,NA,0.1715,0.0732,0.0196,NA,0.1703,0.0213,0.0000,0.0602,NA,0.0049,0.0753,NA,0.0355,0.0675,NA,NA,0.0707,0.4514,0.1288,0.0283,NA,NA,0.0534
bm25_orig_RC1_2,misinfo-qrels-graded.harmful-only,0.95,0.1019,0.0042,0.1707,0.2170,0.1121,0.0000,0.0000,0.0191,0.0504,0.1100,0.1131,0.1423,0.2355,NA,0.0881,0.0001,NA,0.0869,0.0032,NA,0.0000,0.0013,0.1132,NA,NA,NA,NA,NA,0.4547,0.0807,NA,0.0000,0.0164,NA,0.1253,NA,0.0000,0.7293,NA,0.0670,0.0000,NA,NA,0.3198,0.0000,NA,0.0000,NA,NA,0.0005
bm25_orig_RC1_3,misinfo-qrels-graded.helpful-only,0.95,0.1198,0.0159,0.0523,0.0807,0.0000,0.1258,0.3331,0.1926,0.0063,0.1131,0.1288,0.1081,0.0847,NA,0.0145,0.0893,NA,0.0983,0.0963,NA,0.0332,0.0753,0.0594,NA,NA,NA,NA,0.2774,0.0368,0.0765,NA,0.1064,0.0000,0.2954,0.1355,NA,0.0061,0.1946,NA,0.1992,0.1295,NA,NA,0.1995,0.4091,0.1417,0.2075,NA,NA,0.0702
bm25_orig_RC1_3,misinfo-qrels-graded.harmful-only,0.95,0.1357,0.0075,0.1746,0.3644,0.2040,0.1978,0.0000,0.0241,0.0000,0.1018,0.1964,0.0564,0.2503,NA,0.1199,0.0028,NA,0.2660,0.0060,NA,0.0000,0.0082,0.1006,NA,NA,NA,NA,NA,0.8612,0.0003,NA,0.0000,0.1007,NA,0.2355,NA,0.0000,0.4519,NA,0.2954,0.0000,NA,NA,0.3116,0.0000,NA,0.0000,NA,NA,0.0041
bm25_orig_RC1_4,misinfo-qrels-graded.helpful-only,0.95,0.0853,0.0026,0.0262,0.0580,0.0000,0.0000,0.3536,0.1936,0.0000,0.0344,0.0144,0.0852,0.0132,NA,0.1501,0.0561,NA,0.1169,0.0609,NA,0.1113,0.0786,0.1172,NA,NA,NA,NA,0.1151,0.0204,0.0190,NA,0.1309,0.0000,0.1587,0.0702,NA,0.0013,0.1270,NA,0.0053,0.0173,NA,NA,0.1208,0.3348,0.1653,0.0423,NA,NA,0.1835
bm25_orig_RC1_4,misinfo-qrels-graded.harmful-only,0.95,0.0914,0.0040,0.0613,0.3401,0.1819,0.0000,0.0000,0.0000,0.0000,0.0910,0.1719,0.0594,0.2416,NA,0.0040,0.0000,NA,0.1135,0.0000,NA,0.0032,0.0330,0.1271,NA,NA,NA,NA,NA,0.5558,0.0153,NA,0.0000,0.0480,NA,0.0252,NA,0.0000,0.6868,NA,0.0835,0.0000,NA,NA,0.0775,0.0000,NA,0.0000,NA,NA,0.0000
bm25_orig_RC1_5,misinfo-qrels-graded.helpful-only,0.95,0.1038,0.0079,0.0389,0.0086,0.0770,0.0011,0.3659,0.0378,0.1135,0.0978,0.2063,0.0057,0.0283,NA,0.0600,0.0824,NA,0.0175,0.0255,NA,0.0237,0.0805,0.0827,NA,NA,NA,NA,0.0787,0.0656,0.0040,NA,0.0921,0.0055,0.0066,0.1382,NA,0.0011,0.1343,NA,0.2143,0.3378,NA,NA,0.0894,0.3399,0.2135,0.3693,NA,NA,0.1814
bm25_orig_RC1_5,misinfo-qrels-graded.harmful-only,0.95,0.1159,0.0041,0.1586,0.2276,0.0770,0.0000,0.0000,0.0014,0.0342,0.0138,0.1525,0.0505,0.1807,NA,0.0494,0.0000,NA,0.1254,0.3208,NA,0.0005,0.0002,0.0839,NA,NA,NA,NA,NA,0.6787,0.0000,NA,0.0000,0.1270,NA,0.1683,NA,0.0000,0.6552,NA,0.2558,0.0000,NA,NA,0.3360,0.0000,NA,0.0085,NA,NA,0.0000
bm25_orig_C1_1,misinfo-qrels-graded.helpful-only,0.95,0.1240,0.0203,0.0263,0.1208,0.0210,0.0165,0.3592,0.1283,0.1361,0.1463,0.3534,0.0290,0.0573,NA,0.0147,0.0792,NA,0.3638,0.1340,NA,0.0892,0.0163,0.0922,NA,NA,NA,NA,0.1093,0.0171,0.2252,NA,0.0157,0.0570,0.2021,0.0416,NA,0.0016,0.1799,NA,0.0034,0.1815,NA,NA,0.1264,0.3754,0.0853,0.5045,NA,NA,0.0117
