run,topic,ndcg_cut_5,ndcg_cut_10,ndcg_cut_15,ndcg_cut_20,ndcg_cut_30,ndcg_cut_100,ndcg_cut_200,ndcg_cut_500,ndcg_cut_1000
minilm_layman_CLEF,107005,0.7860,0.7486,0.7603,0.8004,0.7090,0.6308,0.4428,0.3889,0.4375
minilm_layman_CLEF,107006,0.5434,0.6303,0.5313,0.5094,0.4869,0.4492,0.3893,0.3383,0.3843
minilm_layman_CLEF,108004,0.0000,0.0000,0.0000,0.0000,0.0147,0.0209,0.0282,0.0451,0.0451
minilm_layman_CLEF,108005,0.0000,0.0000,0.0218,0.0195,0.0309,0.0314,0.0446,0.0999,0.1425
minilm_layman_CLEF,108006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0407,0.0476,0.0476,0.0797
minilm_layman_CLEF,109004,0.4240,0.4542,0.3759,0.3799,0.3730,0.2780,0.2178,0.2340,0.2710
minilm_layman_CLEF,109005,0.7574,0.6612,0.5126,0.4599,0.3534,0.2638,0.2288,0.2471,0.2878
minilm_layman_CLEF,109006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,0.0101,0.0133,0.0184
minilm_layman_CLEF,110004,1.0000,0.7640,0.6832,0.6011,0.5199,0.3980,0.3388,0.3288,0.3746
minilm_layman_CLEF,110005,0.1696,0.3183,0.2692,0.2241,0.2288,0.2447,0.1675,0.1431,0.1547
minilm_layman_CLEF,110006,0.7227,0.7417,0.7522,0.7266,0.5804,0.3748,0.3406,0.3064,0.3552
minilm_layman_CLEF,111004,0.1070,0.0694,0.0999,0.0832,0.1125,0.1853,0.1480,0.1814,0.2515
minilm_layman_CLEF,111005,0.5192,0.4793,0.4616,0.4017,0.3767,0.2982,0.2154,0.1927,0.2526
minilm_layman_CLEF,111006,0.5531,0.4680,0.5196,0.5002,0.4071,0.3705,0.2670,0.2490,0.2754
minilm_layman_CLEF,112004,0.1696,0.1779,0.1592,0.1326,0.1141,0.1067,0.0994,0.1062,0.1248
minilm_layman_CLEF,112005,0.1070,0.1740,0.1348,0.1284,0.1108,0.1020,0.1016,0.1391,0.1707
